visitor_id,avg_ctr,click_count,impression_count
772,0.5385,7,13
773,0.4242,14,33
774,0.5909,13,22
775,0.5537,201,363
776,0.7551,37,49
777,0.7333,66,90
778,0.6545,36,55
779,0.8718,34,39
780,0.75,6,8
781,0.375,18,48
782,0.4918,30,61
783,0.8947,34,38
784,0.7273,16,22
785,0.75,12,16
786,0.2759,8,29
787,0.7451,38,51
788,0.9167,11,12
789,0.9091,10,11
790,0.8889,16,18
791,0.5556,5,9
792,0.8085,38,47
793,0.7959,39,49
794,0.8,4,5
795,0.7551,37,49
796,0.4384,32,73
797,0.8667,26,30
798,0.9,18,20
799,0.5789,11,19
800,1.0,5,5
801,1.0,3,3
802,0.78,117,150
803,0.0,0,3
804,0.8372,36,43
805,0.5,11,22
806,0.8571,18,21
807,0.6667,14,21
808,0.9,9,10
809,0.1852,10,54
810,0.8,16,20
811,0.8235,14,17
812,0.2881,51,177
813,1.0,8,8
814,0.7105,54,76
815,1.0,4,4
816,0.7177,89,124
817,0.6053,23,38
818,0.5517,16,29
819,0.875,7,8
820,1.0,10,10
821,0.4444,28,63
822,0.7,14,20
823,0.575,23,40
824,0.6047,26,43
825,0.6667,2,3
826,0.625,5,8
827,1.0,22,22
828,0.8,8,10
829,0.9697,32,33
830,0.8,4,5
831,0.6486,24,37
832,1.0,3,3
833,0.5745,27,47
834,0.5556,5,9
835,0.8333,5,6
836,0.75,3,4
837,0.5,1,2
838,0.4286,6,14
839,0.6176,21,34
840,0.1569,32,204
841,0.8095,17,21
842,0.8889,8,9
843,0.5714,20,35
844,1.0,2,2
845,1.0,3,3
846,0.4157,37,89
847,0.6966,62,89
848,0.3684,21,57
849,0.3889,7,18
850,0.6087,14,23
851,1.0,7,7
852,0.8947,17,19
853,0.5701,61,107
854,0.5455,6,11
855,0.5,2,4
856,0.4286,3,7
857,0.434,23,53
858,0.1538,2,13
859,0.3182,7,22
860,0.5818,32,55
861,1.0,2,2
862,0.7778,7,9
863,0.7647,13,17
864,0.6364,7,11
865,0.8462,11,13
867,0.1818,2,11
868,0.8636,38,44
869,0.4239,39,92
870,0.6552,19,29
871,0.303,10,33
872,0.8523,75,88
873,0.4237,25,59
874,0.0,0,8
875,0.4737,18,38
876,0.0,0,1
877,0.5,1,2
878,0.625,15,24
879,0.875,14,16
880,0.7,7,10
881,0.4444,4,9
882,0.9524,20,21
883,0.9333,14,15
884,0.4286,3,7
885,0.8814,52,59
886,0.6286,22,35
887,1.0,3,3
888,0.7,7,10
889,0.6923,18,26
890,0.9231,12,13
891,0.7368,14,19
892,0.525,84,160
893,0.8333,20,24
894,1.0,13,13
895,0.7895,15,19
896,0.2857,2,7
897,0.619,13,21
898,0.9,18,20
899,0.3548,11,31
900,0.775,31,40
901,0.5,5,10
902,0.8049,33,41
903,0.2026,125,617
904,0.56,14,25
905,0.375,3,8
906,0.3077,4,13
907,0.3448,10,29
908,0.5,44,88
909,0.7,14,20
910,0.8974,105,117
911,0.5938,19,32
912,0.875,7,8
913,0.9231,12,13
914,1.0,6,6
915,0.7778,14,18
916,0.5536,31,56
917,0.5,2,4
918,0.5385,42,78
919,0.8333,10,12
920,0.2261,26,115
922,0.5,2,4
923,0.8333,15,18
924,1.0,11,11
925,0.4464,50,112
926,0.8636,19,22
927,0.8,4,5
928,0.25,18,72
929,0.5902,36,61
930,0.3469,17,49
931,0.8571,6,7
932,0.5263,20,38
933,0.9286,13,14
934,0.5,27,54
935,0.537,58,108
936,0.5909,39,66
937,0.8,8,10
938,0.5,2,4
939,0.6129,19,31
940,0.6471,11,17
941,0.8113,43,53
942,0.5,16,32
943,0.3924,31,79
944,0.25,1,4
945,0.3636,20,55
946,0.5,3,6
947,0.8077,63,78
948,0.2857,2,7
949,0.7222,13,18
950,0.125,3,24
951,0.7308,19,26
952,1.0,12,12
953,0.8667,13,15
954,0.6792,36,53
955,0.2649,49,185
956,0.4906,26,53
957,0.1111,1,9
958,1.0,1,1
959,0.3438,11,32
960,0.5065,39,77
961,0.2333,7,30
962,0.2,1,5
963,0.5,10,20
964,0.8462,22,26
965,0.7143,15,21
966,0.5833,14,24
967,0.4615,6,13
968,0.5333,8,15
969,0.9184,45,49
970,0.4683,59,126
971,0.5,84,168
972,0.4074,11,27
973,0.8125,13,16
974,0.5333,8,15
975,0.5952,25,42
976,0.6667,2,3
977,0.4146,17,41
978,0.3913,36,92
979,0.875,7,8
980,0.3766,29,77
981,0.6667,6,9
982,0.343,118,344
983,0.3091,17,55
984,0.7162,53,74
985,1.0,9,9
986,0.6036,102,169
987,0.7561,31,41
988,0.8571,12,14
989,0.5,26,52
990,1.0,13,13
991,1.0,3,3
992,1.0,3,3
993,0.7143,15,21
994,0.8235,28,34
995,0.4062,26,64
996,0.6429,27,42
997,1.0,2,2
998,0.8214,23,28
999,0.2917,7,24
1000,0.5,1,2
1001,0.4598,40,87
1002,0.5,6,12
1003,0.7931,23,29
1004,0.8,4,5
1005,0.5,12,24
1006,0.7895,15,19
1007,0.3812,61,160
1008,0.6154,16,26
1009,0.1667,1,6
1010,0.5,5,10
1011,0.3901,55,141
1012,0.3077,8,26
1013,0.625,10,16
1014,0.2,1,5
1015,0.75,42,56
1016,0.5,16,32
1017,0.7857,11,14
1018,0.5778,26,45
1019,0.7195,59,82
1020,0.8462,11,13
1021,0.8571,6,7
1022,0.8889,24,27
1023,0.8824,15,17
1024,0.5128,20,39
1025,1.0,9,9
1026,0.4727,26,55
1027,0.6667,4,6
1028,0.871,27,31
1029,0.7826,18,23
1030,0.8675,72,83
1031,0.7647,13,17
1032,0.5,2,4
1033,0.8,4,5
1034,0.9167,11,12
1035,0.5854,24,41
1036,1.0,8,8
1037,0.5,12,24
1038,0.5625,27,48
1039,0.5294,9,17
1040,0.5238,22,42
1041,0.86,43,50
1042,0.8333,40,48
1043,0.4762,10,21
1044,0.623,38,61
1045,0.6159,85,138
1046,0.88,22,25
1047,0.5429,19,35
1048,0.7,49,70
1049,0.3333,4,12
1050,0.2857,10,35
1051,0.5789,11,19
1052,0.7222,78,108
1053,0.9375,15,16
1054,0.9231,24,26
1055,0.2308,9,39
1056,0.5,5,10
1057,0.5,51,102
1058,0.3407,46,135
1059,0.68,17,25
1060,0.8182,9,11
1061,0.3333,10,30
1062,0.7143,10,14
1063,0.7429,26,35
1064,0.4286,9,21
1065,0.6857,24,35
1066,0.4815,13,27
1067,0.6667,2,3
1068,0.9107,102,112
1069,0.3043,7,23
1070,0.5588,19,34
1071,0.8889,16,18
1072,0.5263,10,19
1073,0.4337,36,83
1074,0.6875,11,16
1075,0.52,13,25
1076,1.0,6,6
1077,0.5714,4,7
1078,0.6842,13,19
1079,0.5556,5,9
1080,0.3273,18,55
1081,0.5128,20,39
1082,0.6744,29,43
1083,0.6875,11,16
1084,0.6667,6,9
1085,0.7478,86,115
1086,0.5,1,2
1087,0.4769,31,65
1088,0.3721,16,43
1089,1.0,9,9
1090,0.3077,4,13
1091,0.625,5,8
1092,0.625,5,8
1093,0.5698,49,86
1094,0.3333,1,3
1095,0.5342,86,161
1096,1.0,10,10
1097,0.5714,4,7
1098,0.5897,23,39
1099,0.3333,12,36
1100,0.375,18,48
1101,0.3333,10,30
1102,0.4933,37,75
1103,0.75,9,12
1104,0.6364,7,11
1105,0.6486,72,111
1106,0.8462,11,13
1107,0.4225,30,71
1108,0.7727,17,22
1109,0.4762,10,21
1110,1.0,4,4
1111,0.6923,9,13
1112,0.375,9,24
1113,0.2,2,10
1114,0.3684,35,95
1115,0.4857,17,35
1116,0.5906,75,127
1117,0.7284,59,81
1118,0.5263,10,19
1119,0.8286,29,35
1120,0.1765,3,17
1121,0.6667,6,9
1122,0.5,11,22
1123,0.9048,38,42
1124,0.8333,5,6
1125,0.5556,5,9
1126,0.3433,23,67
1127,0.6667,2,3
1128,0.7143,5,7
1129,0.8571,6,7
1130,0.4444,4,9
1131,0.6944,25,36
1132,0.9,9,10
1133,0.62,31,50
1134,0.25,4,16
1135,0.5,84,168
1136,0.6765,23,34
1137,0.8333,5,6
1138,0.5238,11,21
1139,0.2973,11,37
1140,0.6786,57,84
1141,0.9074,49,54
1143,0.4857,34,70
1144,0.5574,34,61
1145,1.0,21,21
1146,1.0,7,7
1147,0.7931,23,29
1148,0.6923,9,13
1149,0.75,3,4
1150,0.9375,15,16
1151,0.76,19,25
1152,0.3571,5,14
1153,0.8333,5,6
1154,0.4304,34,79
1155,0.5577,58,104
1156,0.75,15,20
1157,0.0,0,2
1158,0.7576,25,33
1159,0.9211,35,38
1160,0.3514,26,74
1161,0.8,4,5
1162,0.7333,11,15
1163,0.4028,29,72
1164,0.5217,12,23
1165,0.5175,74,143
1166,0.7091,39,55
1167,0.6154,16,26
1168,0.8889,8,9
1169,0.8667,13,15
1170,0.3,9,30
1171,0.4,2,5
1172,0.3846,5,13
1173,0.7568,28,37
1174,0.4135,43,104
1175,0.629,39,62
1176,0.7333,11,15
1177,0.5455,6,11
1178,0.5278,19,36
1179,0.625,15,24
1180,0.44,11,25
1181,0.3924,31,79
1182,1.0,6,6
1183,0.5238,11,21
1184,0.7209,31,43
1185,0.6279,108,172
1186,0.2889,13,45
1187,0.7447,35,47
1188,0.6875,22,32
1189,0.6667,4,6
1190,0.5328,65,122
1191,0.5366,22,41
1192,0.5,3,6
1193,0.625,5,8
1194,0.875,7,8
1195,0.4375,7,16
1196,0.0,0,2
1197,0.7391,17,23
1198,0.8367,41,49
1199,0.3,3,10
1200,0.5942,82,138
1201,1.0,5,5
1202,0.8333,15,18
1203,0.3043,7,23
1204,0.4,10,25
1205,0.3333,1,3
1206,1.0,13,13
1207,0.3671,29,79
1208,0.6,21,35
1209,0.7439,61,82
1210,0.4048,17,42
1211,1.0,1,1
1212,0.6491,37,57
1213,0.6,9,15
1214,0.7143,20,28
1215,0.5862,17,29
1216,0.7308,19,26
1217,0.8333,5,6
1218,0.1837,9,49
1219,0.4,20,50
1220,0.4688,15,32
1221,0.7,7,10
1222,0.7519,97,129
1223,0.4459,33,74
1224,0.5714,4,7
1225,0.4615,6,13
1226,0.7647,13,17
1227,0.9111,41,45
1228,0.814,35,43
1229,0.5556,5,9
1230,0.4967,75,151
1231,0.0,0,2
1232,0.4286,33,77
1233,0.8776,43,49
1234,0.9167,11,12
1235,0.8077,21,26
1236,0.8571,6,7
1237,0.5,17,34
1238,0.6552,19,29
1239,1.0,6,6
1240,1.0,1,1
1241,0.8947,17,19
1242,0.5714,24,42
1243,0.6667,22,33
1244,0.8182,90,110
1245,0.2778,5,18
1246,0.8889,8,9
1247,0.4658,34,73
1248,0.8182,45,55
1249,0.75,15,20
1250,0.5974,46,77
1251,1.0,11,11
1252,0.7843,40,51
1253,1.0,5,5
1254,0.5918,29,49
1255,0.75,6,8
1256,0.8696,20,23
1257,1.0,5,5
1258,0.5882,10,17
1259,0.6747,56,83
1260,0.5152,34,66
1261,0.9512,39,41
1262,0.75,6,8
1263,1.0,3,3
1264,0.3333,14,42
1265,0.72,18,25
1266,0.8333,20,24
1267,0.75,66,88
1268,0.8158,31,38
1269,0.4,2,5
1270,0.7672,89,116
1271,0.6316,12,19
1272,0.8462,11,13
1273,0.7,7,10
1274,0.8605,37,43
1275,0.4,2,5
1276,0.4694,46,98
1277,0.9167,11,12
1278,0.75,3,4
1279,0.6538,17,26
1280,0.307,66,215
1281,0.4286,24,56
1282,0.7674,33,43
1283,0.4359,17,39
1284,0.9048,57,63
1285,0.7143,5,7
