ad_id,title,release_year,categories,click_count,impression_count,ctr
34,Babe (1995),1995,Children|Drama,7042,9707,0.7254
35,Carrington (1995),1995,Drama|Romance,313,453,0.6895
36,Dead Man Walking (1995),1995,Crime|Drama,4547,5771,0.7878
37,Across the Sea of Time (1995),1995,Documentary|IMAX,27,45,0.5889
38,It Takes Two (1995),1995,Children|Comedy,130,229,0.5669
39,Clueless (1995),1995,Comedy|Romance,5741,8404,0.6831
40,"Cry, the Beloved Country (1995)",1995,Drama,205,287,0.7137
41,Richard III (1995),1995,Drama|War,1033,1361,0.7589
42,Dead Presidents (1995),1995,Action|Crime|Drama,531,850,0.6245
43,Restoration (1995),1995,Drama,572,827,0.6914
44,Mortal Kombat (1995),1995,Action|Adventure|Fantasy,2293,4339,0.5284
45,To Die For (1995),1995,Comedy|Drama|Thriller,1910,2817,0.6779
46,How to Make an American Quilt (1995),1995,Drama|Romance,711,1095,0.6491
47,Seven (a.k.a. Se7en) (1995),1995,Mystery|Thriller,9335,11494,0.8121
48,Pocahontas (1995),1995,Animation|Children|Drama|Musical|Romance,2834,4817,0.5882
49,When Night Is Falling (1995),1995,Drama|Romance,50,68,0.73
50,"Usual Suspects, The (1995)",1995,Crime|Mystery|Thriller,10221,11753,0.8696
51,Guardian Angel (1994),1994,Action|Drama|Thriller,4,7,0.525
52,Mighty Aphrodite (1995),1995,Comedy|Drama|Romance,2033,2875,0.707
53,Lamerica (1994),1994,Adventure|Drama,31,43,0.7161
54,"Big Green, The (1995)",1995,Children|Comedy,228,398,0.5728
55,Georgia (1995),1995,Drama,219,335,0.6521
56,Kids of the Round Table (1995),1995,Adventure|Children|Fantasy,15,47,0.3133
57,Home for the Holidays (1995),1995,Drama,551,827,0.6662
58,"Postman, The (Postino, Il) (1994)",1994,Comedy|Drama|Romance,2498,3162,0.7899
59,"Confessional, The (Confessionnal, Le) (1995)",1995,Drama|Mystery,37,56,0.6568
60,"Indian in the Cupboard, The (1995)",1995,Adventure|Children|Fantasy,1376,2224,0.6186
61,Eye for an Eye (1996),1996,Drama|Thriller,507,768,0.66
62,Mr. Holland's Opus (1995),1995,Drama,4221,5702,0.7403
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996,Comedy|Crime,524,886,0.5908
64,Two if by Sea (1996),1996,Comedy|Romance,465,825,0.5634
65,Bio-Dome (1996),1996,Comedy,1104,2294,0.4813
66,Lawnmower Man 2: Beyond Cyberspace (1996),1996,Action|Sci-Fi|Thriller,506,1206,0.4194
67,Two Bits (1995),1995,Drama,36,56,0.6361
68,French Twist (Gazon maudit) (1995),1995,Comedy|Romance,268,398,0.6731
69,Friday (1995),1995,Comedy,917,1288,0.7115
70,From Dusk Till Dawn (1996),1996,Action|Comedy|Horror|Thriller,2831,4367,0.6482
71,Fair Game (1995),1995,Action,292,627,0.4651
72,Kicking and Screaming (1995),1995,Comedy|Drama,284,411,0.6908
73,"Misérables, Les (1995)",1995,Drama|War,670,889,0.7531
74,Bed of Roses (1996),1996,Drama|Romance,786,1177,0.6674
75,Big Bully (1996),1996,Comedy|Drama,125,255,0.4896
76,Screamers (1995),1995,Action|Sci-Fi|Thriller,741,1212,0.6112
77,Nico Icon (1995),1995,Documentary,43,63,0.6814
78,"Crossing Guard, The (1995)",1995,Action|Crime|Drama|Thriller,288,462,0.6222
79,"Juror, The (1996)",1996,Drama|Thriller,1177,1883,0.6248
80,"White Balloon, The (Badkonake sefid) (1995)",1995,Children|Drama,118,160,0.7339
81,Things to Do in Denver When You're Dead (1995),1995,Crime|Drama|Romance,688,1048,0.6562
82,Antonia's Line (Antonia) (1995),1995,Comedy|Drama,587,733,0.8005
83,Once Upon a Time... When We Were Colored (1995),1995,Drama|Romance,153,212,0.7216
84,Last Summer in the Hamptons (1995),1995,Comedy|Drama,46,66,0.6935
85,Angels and Insects (1995),1995,Drama|Romance,592,832,0.7111
86,White Squall (1996),1996,Action|Adventure|Drama,945,1367,0.6908
87,Dunston Checks In (1996),1996,Children|Comedy,243,514,0.472
88,Black Sheep (1996),1996,Comedy,1021,1653,0.6174
89,Nick of Time (1995),1995,Action|Thriller,705,1108,0.6359
90,"Journey of August King, The (1995)",1995,Drama,51,81,0.6255
92,Mary Reilly (1996),1996,Drama|Horror|Thriller,512,921,0.5557
93,Vampire in Brooklyn (1995),1995,Comedy|Horror|Romance,425,878,0.4835
94,Beautiful Girls (1996),1996,Comedy|Drama|Romance,876,1243,0.7042
95,Broken Arrow (1996),1996,Action|Adventure|Thriller,4791,7725,0.6201
96,In the Bleak Midwinter (1995),1995,Comedy|Drama,102,143,0.7088
97,"Hate (Haine, La) (1995)",1995,Crime|Drama,411,515,0.7976
98,Shopping (1994),1994,Action|Thriller,16,30,0.5312
99,Heidi Fleiss: Hollywood Madam (1995),1995,Documentary,151,239,0.6298
100,City Hall (1996),1996,Drama|Thriller,905,1407,0.643
101,Bottle Rocket (1996),1996,Adventure|Comedy|Crime|Romance,938,1237,0.758
102,Mr. Wrong (1996),1996,Comedy,444,927,0.4786
103,Unforgettable (1996),1996,Mystery|Sci-Fi|Thriller,268,415,0.6448
104,Happy Gilmore (1996),1996,Comedy,3954,5820,0.6794
105,"Bridges of Madison County, The (1995)",1995,Drama|Romance,2087,3165,0.6592
106,Nobody Loves Me (Keiner liebt mich) (1994),1994,Comedy|Drama,31,39,0.7806
107,Muppet Treasure Island (1996),1996,Adventure|Children|Comedy|Musical,1402,2191,0.6399
108,Catwalk (1996),1996,Documentary,31,55,0.5548
109,Headless Body in Topless Bar (1995),1995,Comedy|Drama|Thriller,4,14,0.275
110,Braveheart (1995),1995,Action|Drama|War,11637,14399,0.8081
111,Taxi Driver (1976),1976,Crime|Drama|Thriller,5305,6443,0.8233
112,Rumble in the Bronx (Hont faan kui) (1995),1995,Action|Adventure|Comedy|Crime,2577,3779,0.6818
113,Before and After (1996),1996,Drama|Mystery,266,435,0.6105
114,Margaret's Museum (1995),1995,Drama,52,68,0.7596
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",1995,Comedy,7,9,0.7429
116,Anne Frank Remembered (1995),1995,Documentary,204,255,0.7995
117,"Young Poisoner's Handbook, The (1995)",1995,Crime|Drama,313,433,0.7224
118,If Lucy Fell (1996),1996,Comedy|Romance,253,430,0.5874
119,"Steal Big, Steal Little (1995)",1995,Comedy,57,100,0.5649
120,Race the Sun (1996),1996,Adventure|Comedy|Drama,39,70,0.5538
121,"Boys of St. Vincent, The (1992)",1992,Drama,180,241,0.7461
122,Boomerang (1992),1992,Comedy|Romance,814,1438,0.5657
123,Chungking Express (Chung Hing sam lam) (1994),1994,Drama|Mystery|Romance,479,611,0.7839
124,"Star Maker, The (Uomo delle stelle, L') (1995)",1995,Drama,77,111,0.6909
125,Flirting With Disaster (1996),1996,Comedy,788,1061,0.7426
126,"NeverEnding Story III, The (1994)",1994,Adventure|Children|Fantasy,293,652,0.4491
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",1994,Drama,9,14,0.6222
128,Jupiter's Wife (1994),1994,Documentary,22,31,0.7
129,Pie in the Sky (1996),1996,Comedy|Romance,43,67,0.6372
130,Angela (1995),1995,Drama,5,8,0.6
131,Frankie Starlight (1995),1995,Drama|Romance,47,69,0.6787
132,Jade (1995),1995,Thriller,461,853,0.5399
133,Nueba Yol (1995),1995,Comedy|Drama,7,12,0.5571
134,Sonic Outlaws (1995),1995,Documentary,9,11,0.7778
135,Down Periscope (1996),1996,Comedy,1390,2314,0.6006
136,From the Journals of Jean Seberg (1995),1995,Documentary,27,37,0.7259
137,Man of the Year (1995),1995,Documentary,48,74,0.6479
138,"Neon Bible, The (1995)",1995,Drama,30,53,0.5567
139,Target (1995),1995,Action|Drama,9,13,0.6889
140,Up Close and Personal (1996),1996,Drama|Romance,1103,1674,0.6588
141,"Birdcage, The (1996)",1996,Comedy,4859,6910,0.7032
142,Shadows (Cienie) (1988),1988,Drama,9,16,0.5333
143,Gospa (1995),1995,Drama,4,7,0.525
144,"Brothers McMullen, The (1995)",1995,Comedy,1010,1456,0.6936
145,Bad Boys (1995),1995,Action|Comedy|Crime|Drama|Thriller,2561,3943,0.6495
146,"Amazing Panda Adventure, The (1995)",1995,Adventure|Children,125,221,0.564
147,"Basketball Diaries, The (1995)",1995,Drama,921,1288,0.7148
148,"Awfully Big Adventure, An (1995)",1995,Drama,82,148,0.5512
149,Amateur (1994),1994,Crime|Drama|Thriller,222,299,0.7419
150,Apollo 13 (1995),1995,Adventure|Drama|IMAX,10324,13377,0.7718
151,Rob Roy (1995),1995,Action|Drama|Romance|War,2767,3876,0.7138
152,"Addiction, The (1995)",1995,Drama|Horror,160,253,0.6306
153,Batman Forever (1995),1995,Action|Adventure|Comedy|Crime,7100,12290,0.5777
154,Beauty of the Day (Belle de jour) (1967),1967,Drama,671,880,0.7624
155,Beyond Rangoon (1995),1995,Adventure|Drama|War,271,393,0.6882
156,Blue in the Face (1995),1995,Comedy|Drama,345,494,0.698
157,Canadian Bacon (1995),1995,Comedy|War,580,1069,0.5421
158,Casper (1995),1995,Adventure|Children,2756,4716,0.5843
159,Clockers (1995),1995,Crime|Drama|Mystery,495,722,0.6853
160,Congo (1995),1995,Action|Adventure|Mystery|Sci-Fi,3235,6219,0.5201
161,Crimson Tide (1995),1995,Drama|Thriller|War,5113,6832,0.7484
162,Crumb (1994),1994,Documentary,1303,1609,0.8094
163,Desperado (1995),1995,Action|Romance|Western,3058,4450,0.6871
164,Devil in a Blue Dress (1995),1995,Crime|Film-Noir|Mystery|Thriller,978,1405,0.6957
165,Die Hard: With a Vengeance (1995),1995,Action|Crime|Thriller,7392,10572,0.6992
166,"Doom Generation, The (1995)",1995,Comedy|Crime|Drama,137,241,0.5679
167,Feast of July (1995),1995,Drama,16,25,0.6375
168,First Knight (1995),1995,Action|Drama|Romance,2557,4174,0.6126
169,Free Willy 2: The Adventure Home (1995),1995,Adventure|Children|Drama,712,1600,0.4449
170,Hackers (1995),1995,Action|Adventure|Crime|Thriller,1651,2580,0.6399
171,Jeffrey (1995),1995,Comedy|Drama,331,462,0.7151
172,Johnny Mnemonic (1995),1995,Action|Sci-Fi|Thriller,2722,5044,0.5396
173,Judge Dredd (1995),1995,Action|Crime|Sci-Fi,3208,6270,0.5116
174,Jury Duty (1995),1995,Comedy,450,925,0.4862
175,Kids (1995),1995,Drama,1043,1489,0.7004
176,Living in Oblivion (1995),1995,Comedy,505,649,0.7772
177,Lord of Illusions (1995),1995,Horror,499,880,0.5669
178,Love & Human Remains (1993),1993,Comedy|Drama,112,162,0.6875
179,Mad Love (1995),1995,Drama|Romance,294,532,0.5517
180,Mallrats (1995),1995,Comedy|Romance,1809,2530,0.715
181,Mighty Morphin Power Rangers: The Movie (1995),1995,Action|Children,576,1489,0.3866
182,Moonlight and Valentino (1995),1995,Drama|Romance,170,279,0.6088
183,Mute Witness (1994),1994,Comedy|Horror|Thriller,118,176,0.6703
184,Nadja (1994),1994,Drama,66,104,0.6318
185,"Net, The (1995)",1995,Action|Crime|Thriller,5344,8603,0.6211
186,Nine Months (1995),1995,Comedy|Romance,2425,4192,0.5784
187,Party Girl (1995),1995,Comedy,202,296,0.6807
188,"Prophecy, The (1995)",1995,Fantasy|Horror|Mystery,532,790,0.6731
189,Reckless (1995),1995,Comedy|Fantasy,75,122,0.6133
190,Safe (1995),1995,Thriller,222,303,0.7315
191,"Scarlet Letter, The (1995)",1995,Drama|Romance,349,654,0.5332
192,"Show, The (1995)",1995,Documentary,18,32,0.5556
193,Showgirls (1995),1995,Drama,1579,3530,0.4473
194,Smoke (1995),1995,Comedy|Drama,1285,1678,0.7656
195,Something to Talk About (1995),1995,Comedy|Drama|Romance,707,1145,0.6171
196,Species (1995),1995,Horror|Sci-Fi,2957,5196,0.569
197,"Stars Fell on Henrietta, The (1995)",1995,Drama,25,42,0.588
198,Strange Days (1995),1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1988,2927,0.679
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1964,Drama|Musical|Romance,357,471,0.7571
200,"Tie That Binds, The (1995)",1995,Thriller,76,134,0.5645
201,Three Wishes (1995),1995,Drama|Fantasy,74,122,0.6027
202,Total Eclipse (1995),1995,Drama|Romance,86,143,0.5988
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995,Comedy,1229,1945,0.6317
204,Under Siege 2: Dark Territory (1995),1995,Action,1782,2996,0.5946
205,Unstrung Heroes (1995),1995,Comedy|Drama,301,431,0.6983
206,Unzipped (1995),1995,Documentary,229,335,0.6821
207,"Walk in the Clouds, A (1995)",1995,Drama|Romance,1210,1770,0.6836
208,Waterworld (1995),1995,Action|Adventure|Sci-Fi,5958,10450,0.5701
209,White Man's Burden (1995),1995,Drama,158,276,0.5722
210,Wild Bill (1995),1995,Western,102,176,0.5765
211,"Browning Version, The (1994)",1994,Drama,126,176,0.7151
212,Bushwhacked (1995),1995,Adventure|Comedy|Crime|Mystery,110,222,0.4936
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),1994,Drama,392,486,0.8064
214,Before the Rain (Pred dozhdot) (1994),1994,Drama|War,190,237,0.8016
215,Before Sunrise (1995),1995,Drama|Romance,1169,1538,0.7601
216,Billy Madison (1995),1995,Comedy,1867,2903,0.6431
217,"Babysitter, The (1995)",1995,Drama|Thriller,225,417,0.5396
218,Boys on the Side (1995),1995,Comedy|Drama,934,1433,0.6514
219,"Cure, The (1995)",1995,Drama,137,188,0.7263
220,Castle Freak (1995),1995,Horror,73,165,0.4411
222,Circle of Friends (1995),1995,Drama|Romance,1283,1832,0.7002
223,Clerks (1994),1994,Comedy,5102,6606,0.7722
224,Don Juan DeMarco (1995),1995,Comedy|Drama|Romance,1882,2719,0.692
225,Disclosure (1994),1994,Drama|Thriller,2693,4094,0.6577
226,Dream Man (1995),1995,Thriller,11,19,0.5636
227,Drop Zone (1994),1994,Action|Thriller,1013,1661,0.6096
228,Destiny Turns on the Radio (1995),1995,Comedy,132,234,0.5621
229,Death and the Maiden (1994),1994,Drama|Thriller,543,747,0.7262
230,Dolores Claiborne (1995),1995,Drama|Thriller,1614,2232,0.7229
231,Dumb & Dumber (Dumb and Dumber) (1994),1994,Adventure|Comedy,7051,12025,0.5864
232,Eat Drink Man Woman (Yin shi nan nu) (1994),1994,Comedy|Drama|Romance,1373,1705,0.8052
233,Exotica (1994),1994,Drama,740,1050,0.7045
234,Exit to Eden (1994),1994,Comedy,688,1272,0.5407
235,Ed Wood (1994),1994,Comedy|Drama,3605,4957,0.7272
236,French Kiss (1995),1995,Action|Comedy|Romance,2607,3940,0.6616
237,Forget Paris (1995),1995,Comedy|Romance,1411,2203,0.6404
238,Far From Home: The Adventures of Yellow Dog (1995),1995,Adventure|Children,178,278,0.6393
239,"Goofy Movie, A (1995)",1995,Animation|Children|Comedy|Romance,701,1160,0.6043
240,Hideaway (1995),1995,Thriller,177,306,0.5768
241,Fluke (1995),1995,Children|Drama,125,208,0.6008
242,Farinelli: il castrato (1994),1994,Drama|Musical,246,360,0.6821
243,Gordy (1995),1995,Children|Comedy|Fantasy,100,200,0.498
244,Gumby: The Movie (1995),1995,Animation|Children,63,130,0.4825
245,"Glass Shield, The (1994)",1994,Crime|Drama,66,115,0.5712
246,Hoop Dreams (1994),1994,Documentary,2288,2816,0.8123
247,Heavenly Creatures (1994),1994,Crime|Drama,1650,2141,0.7704
248,Houseguest (1994),1994,Comedy,682,1123,0.6069
249,Immortal Beloved (1994),1994,Drama|Romance,1090,1467,0.7427
250,Heavyweights (Heavy Weights) (1995),1995,Children|Comedy,187,308,0.6053
251,"Hunted, The (1995)",1995,Action,84,133,0.6274
252,I.Q. (1994),1994,Comedy|Romance,2189,3404,0.643
253,Interview with the Vampire: The Vampire Chronicles (1994),1994,Drama|Horror,6010,8585,0.7
254,Jefferson in Paris (1995),1995,Drama,139,237,0.5856
255,"Jerky Boys, The (1995)",1995,Comedy,236,527,0.4475
256,Junior (1994),1994,Comedy|Sci-Fi,2181,3998,0.5454
257,Just Cause (1995),1995,Mystery|Thriller,814,1188,0.6846
258,"Kid in King Arthur's Court, A (1995)",1995,Adventure|Children|Comedy|Fantasy|Romance,365,703,0.5189
259,Kiss of Death (1995),1995,Crime|Drama|Thriller,451,732,0.6157
260,Star Wars: Episode IV - A New Hope (1977),1977,Action|Adventure|Sci-Fi,11958,14275,0.8376
261,Little Women (1994),1994,Drama,2233,3078,0.7254
262,"Little Princess, A (1995)",1995,Children|Drama,923,1228,0.7516
263,Ladybird Ladybird (1994),1994,Drama,83,107,0.7723
264,"Enfer, L' (1994)",1994,Drama,37,59,0.6243
265,Like Water for Chocolate (Como agua para chocolate) (1992),1992,Drama|Fantasy|Romance,2622,3373,0.7772
266,Legends of the Fall (1994),1994,Drama|Romance|War|Western,3492,5016,0.6961
267,Major Payne (1995),1995,Comedy,813,1395,0.5827
268,Little Odessa (1994),1994,Crime|Drama,146,218,0.6692
269,My Crazy Life (Mi vida loca) (1993),1993,Drama,128,187,0.6828
270,Love Affair (1994),1994,Drama|Romance,302,485,0.6222
271,Losing Isaiah (1995),1995,Drama,275,425,0.6469
272,"Madness of King George, The (1994)",1994,Comedy|Drama,1708,2268,0.7528
273,Mary Shelley's Frankenstein (Frankenstein) (1994),1994,Drama|Horror|Sci-Fi,1633,2623,0.6224
274,Man of the House (1995),1995,Comedy,265,448,0.5913
275,Mixed Nuts (1994),1994,Comedy,331,599,0.552
276,Milk Money (1994),1994,Comedy|Romance,1214,2041,0.5946
277,Miracle on 34th Street (1994),1994,Drama,2028,2993,0.6775
278,Miami Rhapsody (1995),1995,Comedy,259,431,0.5996
279,My Family (1995),1995,Drama,210,282,0.7443
280,Murder in the First (1995),1995,Drama|Thriller,1087,1480,0.7342
281,Nobody's Fool (1994),1994,Comedy|Drama|Romance,870,1189,0.7313
282,Nell (1994),1994,Drama,2426,3575,0.6785
283,New Jersey Drive (1995),1995,Crime|Drama,52,83,0.6212
284,New York Cop (Nyû Yôku no koppu) (1993),1993,Action|Crime,9,13,0.6667
285,Beyond Bedlam (1993),1993,Drama|Horror,23,62,0.3652
286,Nemesis 2: Nebula (1995),1995,Action|Sci-Fi|Thriller,27,64,0.4185
287,Nina Takes a Lover (1994),1994,Comedy|Romance,68,106,0.6368
288,Natural Born Killers (1994),1994,Action|Crime|Thriller,5165,7973,0.6478
289,Only You (1994),1994,Comedy|Romance,707,1049,0.6734
290,Once Were Warriors (1994),1994,Crime|Drama,888,1103,0.8047
291,Poison Ivy II (1996),1996,Drama|Thriller,145,311,0.4655
292,Outbreak (1995),1995,Action|Drama|Sci-Fi|Thriller,5649,8298,0.6807
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1994,Action|Crime|Drama|Thriller,5587,6888,0.8111
294,"Perez Family, The (1995)",1995,Comedy|Romance,192,308,0.6219
295,"Pyromaniac's Love Story, A (1995)",1995,Comedy|Romance,109,191,0.5679
296,Pulp Fiction (1994),1994,Comedy|Crime|Drama|Thriller,14616,17543,0.8331
297,Panther (1995),1995,Drama,63,106,0.5937
298,Pushing Hands (Tui shou) (1992),1992,Drama,52,75,0.6885
299,Priest (1994),1994,Drama,544,720,0.7551
300,Quiz Show (1994),1994,Drama,4445,6036,0.7364
301,Picture Bride (Bijo photo) (1994),1994,Drama|Romance,121,169,0.7149
302,"Queen Margot (Reine Margot, La) (1994)",1994,Drama|Romance,361,488,0.7385
303,"Quick and the Dead, The (1995)",1995,Action|Thriller|Western,1485,2427,0.6116
304,Roommates (1995),1995,Comedy|Drama,154,238,0.6455
305,Ready to Wear (Pret-A-Porter) (1994),1994,Comedy,780,1450,0.5377
306,Three Colors: Red (Trois couleurs: Rouge) (1994),1994,Drama,1537,1890,0.8131
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),1993,Drama,1432,1810,0.7911
308,Three Colors: White (Trzy kolory: Bialy) (1994),1994,Comedy|Drama,1102,1416,0.7779
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",1994,Drama,105,147,0.7143
310,Rent-a-Kid (1995),1995,Comedy,52,103,0.5019
311,Relative Fear (1994),1994,Horror|Thriller,19,43,0.4368
312,Stuart Saves His Family (1995),1995,Comedy,276,505,0.5457
313,"Swan Princess, The (1994)",1994,Animation|Children,271,446,0.607
314,"Secret of Roan Inish, The (1994)",1994,Children|Drama|Fantasy|Mystery,946,1229,0.7695
315,"Specialist, The (1994)",1994,Action|Drama|Thriller,2376,4089,0.581
316,Stargate (1994),1994,Action|Adventure|Sci-Fi,6915,10331,0.6693
317,"Santa Clause, The (1994)",1994,Comedy|Drama|Fantasy,3486,5550,0.6281
318,"Shawshank Redemption, The (1994)",1994,Crime|Drama,13826,15528,0.8904
319,Shallow Grave (1994),1994,Comedy|Drama|Thriller,1592,2107,0.7555
320,Suture (1993),1993,Film-Noir|Thriller,53,80,0.6623
321,Strawberry and Chocolate (Fresa y chocolate) (1993),1993,Drama,199,272,0.7296
322,Swimming with Sharks (1995),1995,Comedy|Drama,652,876,0.7437
324,"Sum of Us, The (1994)",1994,Comedy|Drama,101,133,0.7545
325,National Lampoon's Senior Trip (1995),1995,Comedy,226,435,0.5195
326,To Live (Huozhe) (1994),1994,Drama,297,371,0.7993
327,Tank Girl (1995),1995,Action|Comedy|Sci-Fi,1560,2777,0.5617
328,Tales from the Crypt Presents: Demon Knight (1995),1995,Horror|Thriller,537,849,0.6324
329,Star Trek: Generations (1994),1994,Adventure|Drama|Sci-Fi,5727,8588,0.6668
330,Tales from the Hood (1995),1995,Action|Crime|Horror,327,590,0.5535
331,Tom & Viv (1994),1994,Drama,123,187,0.6577
332,Village of the Damned (1995),1995,Horror|Sci-Fi,474,874,0.542
333,Tommy Boy (1995),1995,Comedy,2284,3421,0.6675
334,Vanya on 42nd Street (1994),1994,Drama,370,479,0.7711
335,Underneath (1995),1995,Mystery|Thriller,82,123,0.6622
336,"Walking Dead, The (1995)",1995,Drama|War,63,112,0.5603
337,What's Eating Gilbert Grape (1993),1993,Drama,3889,5174,0.7516
338,Virtuosity (1995),1995,Action|Sci-Fi|Thriller,984,1648,0.5971
339,While You Were Sleeping (1995),1995,Comedy|Romance,5030,7154,0.703
340,"War, The (1994)",1994,Adventure|Drama|War,297,447,0.6636
341,Double Happiness (1994),1994,Drama,83,122,0.6759
342,Muriel's Wedding (1994),1994,Comedy,2568,3646,0.7042
343,"Baby-Sitters Club, The (1995)",1995,Children,228,439,0.5184
344,Ace Ventura: Pet Detective (1994),1994,Comedy,8273,13869,0.5965
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",1994,Comedy|Drama,2263,3089,0.7324
346,Backbeat (1993),1993,Drama|Musical,265,394,0.6713
347,Bitter Moon (1992),1992,Drama|Film-Noir|Romance,330,473,0.697
348,Bullets Over Broadway (1994),1994,Comedy,1744,2341,0.7448
349,Clear and Present Danger (1994),1994,Action|Crime|Drama|Thriller,6309,8667,0.7279
350,"Client, The (1994)",1994,Drama|Mystery|Thriller,3475,4998,0.6952
351,"Corrina, Corrina (1994)",1994,Comedy|Drama|Romance,795,1211,0.6565
352,Crooklyn (1994),1994,Comedy|Drama,296,452,0.6541
353,"Crow, The (1994)",1994,Action|Crime|Fantasy|Thriller,3640,5197,0.7003
354,Cobb (1994),1994,Drama,258,412,0.626
355,"Flintstones, The (1994)",1994,Children|Comedy|Fantasy,2137,4389,0.4869
356,Forrest Gump (1994),1994,Comedy|Drama|Romance|War,14426,17895,0.8061
357,Four Weddings and a Funeral (1994),1994,Comedy|Romance,6126,8432,0.7265
358,Higher Learning (1995),1995,Drama,469,730,0.6424
359,I Like It Like That (1994),1994,Comedy|Drama|Romance,61,91,0.6639
360,I Love Trouble (1994),1994,Action|Comedy,482,880,0.5475
361,It Could Happen to You (1994),1994,Comedy|Drama|Romance,1122,1684,0.6662
362,"Jungle Book, The (1994)",1994,Adventure|Children|Romance,1657,2452,0.6756
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",1993,Documentary,151,188,0.8
364,"Lion King, The (1994)",1994,Adventure|Animation|Children|Drama|Musical|IMAX,8464,11202,0.7555
365,Little Buddha (1993),1993,Drama,395,637,0.62
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",1994,Drama|Horror|Mystery|Thriller,615,1035,0.594
367,"Mask, The (1994)",1994,Action|Comedy|Crime|Fantasy,7577,11993,0.6318
368,Maverick (1994),1994,Adventure|Comedy|Western,3756,5534,0.6786
369,Mrs. Parker and the Vicious Circle (1994),1994,Drama,251,377,0.6657
370,Naked Gun 33 1/3: The Final Insult (1994),1994,Action|Comedy,3087,5208,0.5927
371,"Paper, The (1994)",1994,Comedy|Drama,930,1433,0.6486
372,Reality Bites (1994),1994,Comedy|Drama|Romance,1799,2764,0.6507
373,Red Rock West (1992),1992,Thriller,770,1020,0.7548
374,Richie Rich (1994),1994,Children|Comedy,1129,2366,0.4771
375,Safe Passage (1994),1994,Drama,62,95,0.6516
376,"River Wild, The (1994)",1994,Action|Thriller,2485,3785,0.6565
